Posicao,Titulo,Ano,Nota_IMDb
,Uma Batalha Após a Outra,N/A,8.4
,Superman,N/A,7.2
,A Hora do Mal,N/A,7.6
,Quarteto Fantástico: Primeiros Passos,N/A,7.1
,A Longa Marcha - Caminhe ou Morra,N/A,7.3
,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,N/A,8.6
,Extermínio: A Evolução,N/A,6.7
,Coração de Lutador - The Smashing Machine,N/A,7.2
,Invocação do Mal 4: O Último Ritual,N/A,6.4
,Por inteiro,N/A,6.3
,GOAT,N/A,5.4
,Mantis,N/A,5.4
,O Clube do Crime das Quintas-Feiras,N/A,6.5
,Primitive War,N/A,5.6
,A Grande Viagem da Sua Vida,N/A,6.2
,Guerreiras do K-Pop,N/A,7.6
,Olhos de Serpente,N/A,6.1
,O homem no meu porão,N/A,4.6
,F1: O Filme,N/A,7.7
,A Paris Errada,N/A,6.1
,Wicked: Parte II,N/A,N/A
,Pecadores,N/A,7.6
,Ruth & Boaz,N/A,5.8
,A Noiva!,N/A,N/A
,Caçadores do Fim do Mundo,N/A,4.5
